2025-11-12 10:30:02,499 - INFO - Log file: ./logs/trial9_cv1_RGS_20251112_103002.log
2025-11-12 10:30:02,499 - INFO - START TRAINING TRIAL 9 CV 1 - Task: RGS
2025-11-12 10:30:02,499 - INFO - Learning rate: 0.001, Epochs: 100, Batches: 5
2025-11-12 10:30:02,499 - INFO - Loading dataset...
2025-11-12 10:30:02,633 - INFO - Dataset shapes - Train: (567, 17, 25, 1), Valid: (141, 17, 25, 1), Test: (177, 17, 25, 1)
2025-11-12 10:30:02,633 - INFO - Initializing VIGNet model...
2025-11-12 10:30:02,636 - INFO - Number of batch iterations per epoch: 113
2025-11-12 10:30:10,711 - INFO - Epoch: 1, Training Loss: 1.0620
2025-11-12 10:30:18,987 - INFO - Epoch: 2, Training Loss: 0.7427
2025-11-12 10:30:27,660 - INFO - Epoch: 3, Training Loss: 0.6965
2025-11-12 10:30:35,650 - INFO - Epoch: 4, Training Loss: 0.6909
2025-11-12 10:30:43,607 - INFO - Epoch: 5, Training Loss: 0.6907
2025-11-12 10:30:51,651 - INFO - Epoch: 6, Training Loss: 0.6886
2025-11-12 10:30:59,089 - INFO - Epoch: 7, Training Loss: 0.6885
2025-11-12 10:31:06,820 - INFO - Epoch: 8, Training Loss: 0.6881
2025-11-12 10:31:14,905 - INFO - Epoch: 9, Training Loss: 0.6876
2025-11-12 10:31:23,298 - INFO - Epoch: 10, Training Loss: 0.6885
2025-11-12 10:31:31,733 - INFO - Epoch: 11, Training Loss: 0.6874
2025-11-12 10:31:39,543 - INFO - Epoch: 12, Training Loss: 0.6871
2025-11-12 10:31:47,276 - INFO - Epoch: 13, Training Loss: 0.6871
2025-11-12 10:31:54,786 - INFO - Epoch: 14, Training Loss: 0.6865
2025-11-12 10:32:03,294 - INFO - Epoch: 15, Training Loss: 0.6889
2025-11-12 10:32:11,414 - INFO - Epoch: 16, Training Loss: 0.6873
2025-11-12 10:32:19,392 - INFO - Epoch: 17, Training Loss: 0.6869
2025-11-12 10:32:27,130 - INFO - Epoch: 18, Training Loss: 0.6865
2025-11-12 10:32:34,732 - INFO - Epoch: 19, Training Loss: 0.6874
2025-11-12 10:32:43,254 - INFO - Epoch: 20, Training Loss: 0.6865
2025-11-12 10:32:51,326 - INFO - Epoch: 21, Training Loss: 0.6887
2025-11-12 10:32:59,625 - INFO - Epoch: 22, Training Loss: 0.6877
2025-11-12 10:33:08,835 - INFO - Epoch: 23, Training Loss: 0.6866
2025-11-12 10:33:16,684 - INFO - Epoch: 24, Training Loss: 0.6873
2025-11-12 10:33:24,385 - INFO - Epoch: 25, Training Loss: 0.6872
2025-11-12 10:33:32,697 - INFO - Epoch: 26, Training Loss: 0.6875
2025-11-12 10:33:40,731 - INFO - Epoch: 27, Training Loss: 0.6864
2025-11-12 10:33:48,861 - INFO - Epoch: 28, Training Loss: 0.6865
2025-11-12 10:33:56,641 - INFO - Epoch: 29, Training Loss: 0.6871
2025-11-12 10:34:04,283 - INFO - Epoch: 30, Training Loss: 0.6874
2025-11-12 10:34:12,648 - INFO - Epoch: 31, Training Loss: 0.6870
